rec,Hht-fs,Bps-fs,Gt-fs
0,142192.0,437966,649509.0
1,141274.0,465449,473375.0
2,139485.0,502041,355215.0
3,136877.0,459129,-90440.0
4,133497.0,508955,547519.0
5,129391.0,529064,-51779.0
6,124610.0,567364,-188048.0
7,119200.0,599506,147245.0
8,113211.0,501018,-121800.0
9,106689.0,529391,-280917.0
10,99684.0,524162,-186200.0
11,92242.0,610452,523607.0
12,84429.0,473165,-91981.0
13,76364.0,421555,-72800.0
14,68184.0,511314,-351624.0
15,60013.0,487121,-38871.0
16,51985.0,521735,-433944.0
17,44227.0,550582,76475.0
18,36870.0,593415,591185.0
19,30043.0,566797,-238301.0
20,23875.0,493799,323231.0
21,18497.0,547159,310568.0
22,14037.0,531669,301301.0
23,10627.0,625419,-176624.0
24,8362.0,493799,118336.0
25,7212.0,523135,-39375.0
26,7111.0,594242,337365.0
27,7998.0,555915,-8484.0
28,9806.0,600031,4725.0
29,12474.0,613422,186984.0
30,15936.0,658476,-278965.0
31,20129.0,586530,203133.0
32,24989.0,560367,-201431.0
33,30451.0,594654,-77951.0
34,36445.0,578152,17920.0
35,42861.0,644221,-144795.0
36,49584.0,548821,-444864.0
37,56535.0,568057,57239.0
38,63648.0,598068,-9436.0
39,70857.0,608093,51744.0
40,78095.0,600191,429219.0
41,85295.0,674402,233128.0
42,92390.0,745451,28981.0
43,99315.0,621084,204512.0
44,106003.0,650071,256025.0
45,112386.0,656006,4767.0
46,118407.0,654948,36512.0
47,124043.0,724539,376320.0
48,129290.0,652692,258124.0
49,134151.0,592502,549045.0
50,138623.0,658602,301903.0
51,142708.0,626100,413091.0
52,146404.0,650883,-301455.0
53,149712.0,695531,-145432.0
54,152633.0,701200,24535.0
55,155168.0,634194,527716.0
56,157323.0,683584,87703.0
57,159117.0,688341,-88179.0
58,160561.0,693867,550123.0
59,161670.0,766966,136500.0
60,162462.0,614328,643196.0
61,162948.0,678415,-232757.0
62,163142.0,725316,-76048.0
63,163055.0,646117,-38563.0
64,162699.0,700708,254975.0
65,162085.0,789594,178024.0
66,161226.0,717784,-67816.0
67,160130.0,771009,-181860.0
68,158802.0,770878,-127575.0
69,157237.0,719903,217035.0
70,155434.0,807422,-348936.0
71,153390.0,860655,0.0
72,151102.0,753079,-185640.0
73,148585.0,702666,43568.0
74,145855.0,765607,376285.0
75,142929.0,726332,44128.0
76,139827.0,752363,58240.0
77,136566.0,851475,-80535.0
78,133163.0,777210,206353.0
79,129643.0,826821,-69216.0
80,126026.0,791296,138159.0
81,122337.0,808767,222425.0
82,118597.0,764461,-81312.0
83,114829.0,915334,363692.0
84,111053.0,724698,30065.0
85,107276.0,794302,124432.0
86,103504.0,792804,-186837.0
87,99740.0,750999,333984.0
88,95990.0,794294,399105.0
89,92259.0,815307,268800.0
90,88550.0,815351,406700.0
91,84864.0,853244,666848.0
92,81202.0,870351,627536.0
93,77562.0,826196,196119.0
94,73945.0,777976,1054557.0
95,70352.0,913828,-319788.0
96,66781.0,814303,485884.0
97,63234.0,888309,468272.0
98,59709.0,915019,262773.0
99,56209.0,901095,-93765.0
100,52734.0,915206,47775.0
101,49294.0,857651,-29505.0
102,45899.0,1032741,769867.0
103,42556.0,1031986,212947.0
104,39276.0,1006653,61425.0
105,36069.0,1040651,119832.0
106,32943.0,1002333,-888349.0
107,29907.0,1113328,78988.0
108,26972.0,1107968,-362124.0
109,24146.0,1023388,-403515.0
110,21439.0,1059777,-6405.0
111,18859.0,1171386,-114247.0
112,16415.0,1148588,-282639.0
113,14105.0,1144001,370461.0
114,11930.0,1370591,-712600.0
115,9891.0,1393243,-487347.0
116,7987.0,1250231,-101745.0
117,6218.0,1161565,-192912.0
118,4585.0,1062030,319165.0
119,3086.0,1147031,247107.0
120,1724.0,1097839,448140.0
121,496.0,1197503,11956.0
122,-596.0,1363426,-467040.0
123,-1552.0,1302321,-746928.0
124,-2374.0,1242705,-977865.0
125,-3061.0,1322674,-1014741.0
126,-3612.0,1547231,-1132880.0
127,-4027.0,1511021,-1073100.0
128,-4307.0,1370943,-1024128.0
129,-4452.0,1291605,-854280.0
130,-4465.0,1157483,-940485.0
